"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "HTML", "CSS", "comment", "blank", "total"
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\package-lock.json", "JSON", 38293, 0, 0, 0, 0, 0, 0, 1, 38294
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 1, 50
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\public\index.html", "HTML", 0, 0, 0, 0, 22, 0, 23, 1, 46
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\Dashboard\DashboardComponent.js", "JavaScript", 0, 202, 0, 0, 0, 0, 2, 12, 216
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\HeaderComponent.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 3, 40
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\LoadingComponent.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\MainComponent.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 8, 46
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\People\PeopleComponent.js", "JavaScript", 0, 260, 0, 0, 0, 0, 2, 18, 280
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\PreLoginHeader.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\PreLogin\LoginComponent.js", "JavaScript", 0, 134, 0, 0, 0, 0, 1, 13, 148
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\PreLogin\RegisterComponent.js", "JavaScript", 0, 273, 0, 0, 0, 0, 1, 22, 296
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\Projects\ProjectsComponent.js", "JavaScript", 0, 247, 0, 0, 0, 0, 1, 18, 266
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\Projects\ViewProjectComponent.js", "JavaScript", 0, 680, 0, 0, 0, 0, 44, 51, 775
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\SidebarComponent.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 7, 107
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\Components\Visits\VisitsComponent.js", "JavaScript", 0, 416, 0, 0, 0, 0, 3, 30, 449
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\constants\variables.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\index.css", "CSS", 0, 0, 0, 0, 0, 172, 5, 36, 213
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 3, 3, 22
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"f:\Surya Kandikonda\Projects\4-2\Final Year Project\toss-business\toss-business\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 38367, 2451, 38, 1, 22, 172, 90, 271, 41412
